GIMIMO_METAI,GIMIMO_VALSTYBE,LYTIS,SEIMOS_PADETIS,KIEK_TURI_VAIKU,SENIUNIJA,GATVE,SENIUNNR,TER_REJ_KODAS,GATV_K,GAT_ID
1978,LTU,V,V,2,Pilaitė,"I. Kanto al.",12,G1,168,22022
1968,LTU,V,V,1,Pašilaičiai,"Putiniškių g.",7,G1,2056,48351
2011,LTU,V,,0,Žirmūnai,"Žirmūnų g.",2,G1,694,22524
1943,RUS,M,N,0,Žvėrynas,"Miglos g.",6,G1,340,22188
1957,RUS,M,I,0,Šeškinė,"Gelvonų g.",5,G1,141,21997
1982,LTU,M,,1,Fabijoniškės,"Salomėjos Nėries g.",4,G1,2656,61728
1994,LTU,V,V,1,"Naujoji  Vilnia","Karklėnų g.",14,G1,735,24285
1971,LTU,V,,2,Naujamiestis,"M. K. Čiurlionio g.",17,G1,315,22164
1992,LTU,M,V,1,Antakalnis,"Kalno g.",13,G1,214,22066
2007,LTU,V,,0,Justiniškės,"Taikos g.",8,G1,536,22375
1984,LTU,V,V,0,Žirmūnai,"Apkasų g.",2,G1,26,21887
1938,LTU,M,,0,Šeškinė,"Dūkštų g.",5,G1,109,21965
2013,LTU,M,,0,Antakalnis,"Gervuogių g.",13,G1,3571,320313
1961,LTU,V,V,0,Antakalnis,"Rokantiškių g.",13,G1,458,22299
1952,LTU,M,N,0,Žirmūnai,"Minties g.",2,G1,345,22192
1962,LTU,M,V,0,Paneriai,"Speigo g.",20,G1,1986,26754
1939,LTU,V,V,0,Karoliniškės,"Algimanto Petro Kavoliuko g.",10,G1,910,30663
2020,BLR,M,,0,Verkiai,"Vito Gerulaičio g.",1,G1,2573,59714
1969,LTU,M,,2,Šeškinė,"Ukmergės g.",5,G1,567,22404
1952,LTU,M,I,0,Karoliniškės,"Virginijaus Druskio g.",10,G1,412,22257
1986,LTU,V,,1,Naujamiestis,"Mindaugo g.",17,G1,343,22190
1965,DNK,V,,0,Naujininkai,"Kaminkelio g.",19,G1,218,22070
1997,LTU,M,,0,Senamiestis,"Šv. Stepono g.",16,G1,670,22501
2011,LTU,M,,0,Žirmūnai,"Žirmūnų g.",2,G1,694,22524
1982,LTU,M,,1,Šeškinė,"Šeškinės g.",5,G1,653,22485
2017,UKR,M,,0,,,,A461,,
2018,USA,M,,0,Paneriai,"Apuokų g.",20,G1,2016,30526
2007,LTU,V,,0,Lazdynai,"Architektų g.",11,G1,27,21888
1981,KGZ,V,,0,Šnipiškės,"Kalvarijų g.",3,G1,216,22068
1996,LTU,M,,1,Fabijoniškės,"Salomėjos Nėries g.",4,G1,2656,61728
1932,LTU,M,N,0,Žirmūnai,"Rinktinės g.",2,G1,456,22297
2019,LTU,M,,0,Pašilaičiai,"Gabijos g.",7,G1,125,21981
2004,LTU,V,,0,"Naujoji  Vilnia","Parko g.",14,G1,399,22244
1988,LTU,M,V,1,Šeškinė,"Šeškinės g.",5,G1,653,22485
2007,LTU,V,,0,Grigiškės,"Šaltinio g. (Grigiškės)",21,G89,530,24571
1969,LTU,V,V,1,Verkiai,"Bajorų Sodų 33-ioji g.",1,G1,1748,50104
1950,LTU,V,V,0,Grigiškės,"Sodų g. (Grigiškės)",21,G89,513,24550
1939,BLR,M,N,0,Viršuliškės,"Viršuliškių g.",9,G1,619,22452
1987,LTU,V,V,2,Antakalnis,"Rūtų g.",13,G1,472,22313
1995,LTU,V,V,1,Žirmūnai,"Žirmūnų g.",2,G1,694,22524
1958,LTU,M,I,0,Pašilaičiai,"Žemynos g.",7,G1,687,22518
1970,LTU,M,V,0,Žirmūnai,"Žirmūnų g.",2,G1,694,22524
1984,LTU,V,,0,Žirmūnai,"Verkių g.",2,G1,607,22442
1969,UKR,M,,0,,,,A461,,
1960,LTU,M,V,0,Šnipiškės,"Žalgirio g.",3,G1,679,22510
1978,LTU,M,V,1,Pašilaičiai,"Virbeliškių g.",7,G1,2654,61724
1965,LTU,M,I,0,Žirmūnai,"Žirmūnų g.",2,G1,694,22524
1936,LTU,M,,0,Žirmūnai,"Kareivių g.",2,G1,225,22077
1949,LTU,M,V,0,Šeškinė,"Ukmergės g.",5,G1,567,22404
1975,LTU,M,,0,Pašilaičiai,"Pašilaičių g.",7,G1,405,22250
1953,LTU,M,V,0,Justiniškės,"Taikos g.",8,G1,536,22375
1960,LTU,M,I,0,Karoliniškės,"Loretos Asanavičiūtės g.",10,G1,699,22528
1977,LTU,M,V,1,Pilaitė,"Kirsnos g.",12,G1,2854,81444
1988,LTU,V,V,0,Viršuliškės,"Viršuliškių g.",9,G1,619,22452
1947,LTU,V,V,0,"Naujoji  Vilnia","Pavilnio Sodų 4-oji g.",14,G1,2375,53568
1985,LTU,M,V,1,Rasos,"Tyzenhauzų g.",15,G1,565,22403
1986,BLR,V,,0,Naujininkai,"Zanavykų g.",19,G1,859,28292
1977,LTU,V,V,0,Naujamiestis,"Kražių g.",17,G1,252,22103
1961,LTU,V,V,0,Grigiškės,"Šviesos g. (Grigiškės)",21,G89,520,24555
1982,LTU,V,V,2,"Naujoji  Vilnia","Džiaugsmo g.",14,G1,110,21966
1997,LTU,V,,0,Paneriai,"Galvės pl.",20,G1,752,24705
1982,UKR,V,V,0,Naujamiestis,"Geležinkelio g.",17,G1,137,21993
1976,LTU,V,I,2,Fabijoniškės,"Salomėjos Nėries g.",4,G1,2656,61728
1989,RUS,V,,2,Antakalnis,"Kiškių g.",13,G1,242,22093
2008,LTU,M,,0,Žirmūnai,"Kalvarijų g.",2,G1,216,22068
1981,UZB,V,,0,Pašilaičiai,"Pavilnionių g.",7,G1,2546,59086
1990,LTU,M,V,1,Naujamiestis,"Gedimino pr.",17,G1,135,21991
1979,LTU,V,V,4,Verkiai,"Senolių g.",1,G1,782,24732
1977,UKR,V,V,0,Žvėrynas,"A. Mickevičiaus g.",6,G1,4,21865
2009,LTU,M,,0,"Naujoji  Vilnia","Parko g.",14,G1,399,22244
1977,LTU,V,V,3,Verkiai,"Fizikų g.",1,G1,1584,48794
1979,LTU,M,V,2,Antakalnis,"Antakalnio g.",13,G1,23,21884
1940,LTU,M,I,0,Justiniškės,"Taikos g.",8,G1,536,22375
2021,LTU,M,,0,Rasos,"Manufaktūrų g.",15,G1,3345,273412
1972,LTU,V,V,0,Žvėrynas,"S. Moniuškos g.",6,G1,476,22317
1985,UKR,V,,0,,,,A461,,
1961,LTU,M,V,0,Naujamiestis,"Naugarduko g.",17,G1,364,22209
1949,LTU,M,I,0,Šeškinė,"Laisvės pr.",5,G1,272,22123
2012,LTU,V,,0,Pilaitė,"I. Kanto al.",12,G1,168,22022
1980,LTU,V,I,2,Šeškinė,"Ukmergės g.",5,G1,567,22404
1970,LTU,M,I,0,"Naujoji  Vilnia","Eglinės Sodų g.",14,G1,2535,55080
1989,LTU,M,V,1,Šnipiškės,"Kernavės g.",3,G1,239,22090
2018,LTU,V,,0,Senamiestis,"Krivių g.",16,G1,1254,22537
1978,LTU,M,V,2,Pašilaičiai,"Sviliškių g.",7,G1,2653,61722
1978,BLR,V,,0,Naujininkai,"Eišiškių pl.",19,G1,114,21970
2009,LTU,M,,0,"Naujoji  Vilnia","Pavilnio Sodų 3-ioji g.",14,G1,2374,53566
1966,LTU,V,,0,Naujamiestis,"Naugarduko g.",17,G1,364,22209
1957,LTU,V,V,0,Vilkpėdė,"Gerosios Vilties g.",18,G1,144,22000
1993,LTU,M,V,1,Naujininkai,"A. Jaroševičiaus g.",19,G1,2,21863
1962,RUS,M,,0,Šeškinė,"Gelvonų g.",5,G1,141,21997
1968,LTU,V,V,1,Karoliniškės,"Algimanto Petro Kavoliuko g.",10,G1,910,30663
2009,LTU,M,,0,Senamiestis,"Krivių g.",16,G1,1254,22537
1972,LTU,M,V,0,Verkiai,"Skersinės Sodų 1-oji g.",1,G1,1605,48896
1983,BLR,V,V,0,Naujininkai,"Zanavykų g.",19,G1,859,28292
1990,LTU,V,,0,Šnipiškės,"Linkmenų g.",3,G1,291,22141
2008,LTU,V,,0,Šnipiškės,"Dubingių g.",3,G1,103,21959
1956,LTU,M,N,0,Šeškinė,"Gelvonų g.",5,G1,141,21997
1982,LTU,M,V,2,Naujamiestis,"Savanorių pr.",17,G1,487,22328
2012,LTU,M,,0,Pilaitė,"M. Mažvydo g.",12,G1,319,22167
1992,LTU,V,,0,Šnipiškės,"Kalvarijų g.",3,G1,216,22068
1959,UKR,V,,0,,,,A461,,
1987,RUS,M,,1,,,,A461,,
1987,LTU,M,V,0,Pilaitė,"Pilkalnio g.",12,G1,3187,246814
1966,LTU,M,V,0,Žvėrynas,"Paribio g.",6,G1,398,22243
1987,LTU,V,V,2,Žirmūnai,"Olimpiečių g.",2,G1,1650,49908
1950,LTU,V,V,0,"Naujoji  Vilnia","Genių g.",14,G1,142,21998
1977,LTU,V,V,3,Viršuliškės,"Viršuliškių g.",9,G1,619,22452
1987,LTU,M,V,2,Fabijoniškės,"Fabijoniškių g.",4,G1,121,21977
1946,BLR,V,N,0,Šeškinė,"Ukmergės g.",5,G1,567,22404
2022,LTU,M,,0,Naujamiestis,"Vytenio g.",17,G1,632,22465
2001,UKR,M,,0,,,,A461,,
1997,LTU,V,,0,Verkiai,"Kalvarijų g.",1,G1,216,22068
2008,LTU,V,,0,Verkiai,"Mykolo Marcinkevičiaus g.",1,G1,885,29738
1952,LTU,M,V,0,Senamiestis,"Odminių g.",16,G1,373,22218
1943,LTU,M,V,0,Rasos,"Peteliškių g.",15,G1,415,22259
2019,LTU,V,,0,Pilaitė,"Karaliaučiaus g.",12,G1,223,22075
1968,LTU,M,,0,Antakalnis,"Antakalnio g.",13,G1,23,21884
1979,LTU,M,V,1,Justiniškės,"Justiniškių g.",8,G1,203,22056
1951,LTU,M,V,0,Pašilaičiai,"Gabijos g.",7,G1,125,21981
1980,RUS,V,V,2,Grigiškės,"Jerubių g. (Salos)",21,G16397,17,267462
1972,LTU,M,I,0,Verkiai,"Kviečių g.",1,G1,264,22115
1963,LTU,M,V,0,"Naujoji  Vilnia","Žaliakalnio g.",14,G1,680,22511
1989,LTU,M,,0,Šnipiškės,"Linkmenų g.",3,G1,291,22141
1966,KAZ,M,I,0,Antakalnis,"Antakalnio g.",13,G1,23,21884
1971,LTU,V,I,0,Naujininkai,"Pelesos g.",19,G1,408,22253
1973,LTU,M,V,0,Karoliniškės,"Algimanto Petro Kavoliuko g.",10,G1,910,30663
1985,LTU,V,V,1,Justiniškės,"Rygos g.",8,G1,469,22310
1982,LTU,M,V,2,Naujamiestis,"Birželio 23-iosios g.",17,G1,875,29261
2003,LTU,V,,0,Verkiai,"Žaliųjų Ežerų g.",1,G1,560,22398
1980,LTU,M,V,3,Senamiestis,"Subačiaus g.",16,G1,522,22362
1988,LTU,M,,0,Šeškinė,"Gelvonų g.",5,G1,141,21997
1958,LTU,M,V,0,Žirmūnai,"J. Treinio g.",2,G1,787,24737
1966,LTU,M,V,0,Rasos,"Ribiškių tak.",15,G1,468,22309
1984,LTU,V,V,1,Senamiestis,"Aguonų g.",16,G1,12,21873
1953,LTU,M,I,0,Žirmūnai,"Kazimiero Ladygos g.",2,G1,2149,53002
1960,LTU,M,,0,Pašilaičiai,"Laisvės pr.",7,G1,272,22123
1982,LTU,V,V,2,Šeškinė,"Musninkų g.",5,G1,355,22200
1955,LTU,M,V,0,Justiniškės,"Taikos g.",8,G1,536,22375
1958,LTU,M,,0,Fabijoniškės,"L. Giros g.",4,G1,266,22117
1990,BLR,V,V,2,Viršuliškės,"Rygos g.",9,G1,469,22310
2003,LTU,V,,0,Fabijoniškės,"S. Stanevičiaus g.",4,G1,492,22333
1964,LTU,M,I,0,Žirmūnai,"Žirmūnų g.",2,G1,694,22524
1940,LTU,V,V,0,Karoliniškės,"Algimanto Petro Kavoliuko g.",10,G1,910,30663
1999,LTU,V,,0,Naujininkai,"Karaliaus Šulinio g.",19,G1,929,31078
1972,LTU,M,V,2,Justiniškės,"Taikos g.",8,G1,536,22375
1988,LTU,V,V,2,Senamiestis,"Aguonų g.",16,G1,12,21873
2001,LTU,M,,0,,,,G1,3615,
1992,LTU,M,V,1,Naujininkai,"Gudų g.",19,G1,46,21904
2006,LTU,M,,0,Šnipiškės,"Širvintų g.",3,G1,665,22496
1974,BLR,V,V,2,Vilkpėdė,"Skroblų g.",18,G1,496,22337
1997,LTU,V,,0,Žirmūnai,"Žirmūnų g.",2,G1,694,22524
1957,LTU,V,V,0,Justiniškės,"Taikos g.",8,G1,536,22375
1971,LTU,V,V,1,Verkiai,"Bajorų kel.",1,G1,800,28025
1981,LTU,M,V,4,Verkiai,"Vanaginės Sodų 2-oji g.",1,G1,1602,48890
1957,UKR,M,I,0,Antakalnis,"Žvaigždikių g.",13,G1,700,24747
1983,LTU,V,I,1,Pašilaičiai,"Žemynos g.",7,G1,687,22518
1993,LTU,M,V,1,Fabijoniškės,"S. Stanevičiaus g.",4,G1,492,22333
1944,LTU,V,V,0,Karoliniškės,"Dariaus Gerbutavičiaus g.",10,G1,678,22509
1984,LTU,V,V,3,Verkiai,"J. Franko g.",1,G1,1639,49188
2012,LTU,M,,0,,,,G1,3614,
1967,LTU,V,V,1,Lazdynai,"Erfurto g.",11,G1,117,21973
1960,LTU,V,V,0,Lazdynai,"Architektų g.",11,G1,27,21888
1950,LTU,V,V,0,Verkiai,"Žilvino g.",1,G1,796,24746
1972,UKR,M,,0,,,,A461,,
1975,LTU,M,,0,Naujamiestis,"Muitinės g.",17,G1,354,22199
1998,LTU,M,,0,Antakalnis,"Antakalnio g.",13,G1,23,21884
2009,GBR,M,,0,Senamiestis,"Filaretų g.",16,G1,123,21979
1981,LTU,M,V,2,Naujininkai,"Kelmijos Sodų 81-oji g.",19,G1,2491,53800
1963,BLR,M,,0,Lazdynai,"Erfurto g.",11,G1,117,21973
2003,LTU,M,,0,Karoliniškės,"Algimanto Petro Kavoliuko g.",10,G1,910,30663
1962,LTU,M,V,0,Pašilaičiai,"Ukmergės g.",7,G1,567,22404
2016,LTU,V,,0,Lazdynai,"Neužmirštuolių g.",11,G1,837,28271
1993,LTU,M,,0,Naujamiestis,"Mindaugo g.",17,G1,343,22190
1984,LTU,M,,1,Žirmūnai,"Šeimyniškių g.",2,G1,651,22483
1985,LTU,V,V,1,Verkiai,"Bitininkų g.",1,G1,65,21921
1945,LTU,M,N,0,Justiniškės,"Justiniškių g.",8,G1,203,22056
2018,LTU,V,,0,Fabijoniškės,"Mergelės g.",4,G1,989,32115
1965,LTU,V,,0,Žirmūnai,"Žygio g.",2,G1,705,22533
1955,LTU,M,V,0,Justiniškės,"Taikos g.",8,G1,536,22375
1948,LTU,M,V,0,Viršuliškės,"Viršuliškių g.",9,G1,619,22452
1967,LTU,V,I,0,Pašilaičiai,"Laisvės pr.",7,G1,272,22123
1982,LTU,V,,2,Pilaitė,"Elbingo g.",12,G1,3259,265464
2011,LTU,V,,0,Fabijoniškės,"Gedvydžių g.",4,G1,1135,22539
1944,LTU,V,V,0,Karoliniškės,"Sausio 13-osios g.",10,G1,736,24286
2012,LTU,V,,0,Vilkpėdė,"Vaduvos g.",18,G1,585,22421
1979,LTU,M,V,1,Pašilaičiai,"Girulių g.",7,G1,2707,64992
1986,LTU,M,,0,Viršuliškės,"Viršuliškių g.",9,G1,619,22452
1971,LTU,V,,0,Šeškinė,"Ukmergės g.",5,G1,567,22404
1992,LTU,M,,0,Pilaitė,"Tolminkiemio g.",12,G1,547,22386
2008,UKR,V,,0,,,,A461,,
1983,LTU,V,V,2,Žirmūnai,"Tuskulėnų g.",2,G1,562,22400
1968,LTU,V,V,0,,,,G1,3642,
1967,LTU,V,N,0,Viršuliškės,"Viršuliškių g.",9,G1,619,22452
2020,LTU,M,,0,Pašilaičiai,"Pakonių g.",7,G1,3403,288212
1985,LTU,V,,0,Fabijoniškės,"S. Stanevičiaus g.",4,G1,492,22333
1962,LTU,V,V,0,"Naujoji  Vilnia","Parko g.",14,G1,399,22244
1962,BLR,M,I,0,"Naujoji  Vilnia","Kalnėnų g.",14,G1,1965,51616
1946,LTU,M,I,0,Justiniškės,"Rygos g.",8,G1,469,22310
1971,LTU,M,V,0,Pilaitė,"Smalinės g.",12,G1,503,22343
1969,LTU,M,I,0,Vilkpėdė,"Savanorių pr.",18,G1,487,22328
2014,LTU,M,,0,Verkiai,"Pagubės g.",1,G1,1642,49696
1980,LTU,M,,1,Žirmūnai,"Tuskulėnų g.",2,G1,562,22400
1977,BLR,V,,0,Naujininkai,"Zanavykų g.",19,G1,859,28292
2007,ESP,V,,0,Antakalnis,"Mileišiškių Sodų 10-oji g.",13,G1,2712,66955
1946,LTU,M,V,0,Karoliniškės,"Algimanto Petro Kavoliuko g.",10,G1,910,30663
2014,LTU,M,,0,Karoliniškės,"Virginijaus Druskio g.",10,G1,412,22257
1952,LTU,M,N,0,Senamiestis,"Šv. Stepono g.",16,G1,670,22501
1983,LTU,V,V,1,Žirmūnai,"Šeimyniškių g.",2,G1,651,22483
2010,LTU,V,,0,Šeškinė,"Buivydiškių g.",5,G1,73,21929
1989,LTU,M,V,3,Vilkpėdė,"Gerosios Vilties g.",18,G1,144,22000
1967,LTU,V,I,0,Naujininkai,"Dariaus ir Girėno g.",19,G1,89,21945
1976,LTU,V,V,3,Verkiai,"Ateities g.",1,G1,34,21893
1936,LTU,M,N,0,Fabijoniškės,"L. Giros g.",4,G1,266,22117
2001,LTU,V,,0,Naujininkai,"Garvežių g.",19,G1,134,21990
2006,LTU,M,,0,Šeškinė,"Šeškinės g.",5,G1,653,22485
1994,BLR,V,,0,Šnipiškės,"A. Juozapavičiaus g.",3,G1,3,21864
1979,LTU,V,V,3,Pašilaičiai,"Girulių g.",7,G1,2707,64992
2001,LTU,M,,0,Pašilaičiai,"Laisvės pr.",7,G1,272,22123
1978,LTU,M,I,0,Justiniškės,"Taikos g.",8,G1,536,22375
1941,LTU,M,,0,Žirmūnai,"Žirmūnų g.",2,G1,694,22524
1984,LTU,V,,1,Justiniškės,"Helsinkio g.",8,G1,3069,226217
1953,LTU,M,,0,Naujamiestis,"Algirdo g.",17,G1,17,21878
1965,LTU,V,V,0,Viršuliškės,"Viršuliškių g.",9,G1,619,22452
1965,RUS,V,,0,Verkiai,"Juozo Balčikonio g.",1,G1,2874,85953
1939,LTU,V,,0,Pilaitė,"Vydūno g.",12,G1,629,22462
1994,UKR,M,,0,,,,A461,,
1937,LTU,V,V,0,Naujamiestis,"Algirdo g.",17,G1,17,21878
2010,LTU,M,,0,Justiniškės,"Taikos g.",8,G1,536,22375
1956,LTU,V,I,0,Fabijoniškės,"Salomėjos Nėries g.",4,G1,2656,61728
1989,LTU,V,,0,Žirmūnai,"Minties g.",2,G1,345,22192
1986,LTU,M,V,1,Pašilaičiai,"Perkūnkiemio g.",7,G1,2710,64998
1993,LTU,M,I,1,Pašilaičiai,"Perkūnkiemio g.",7,G1,2710,64998
1967,LTU,M,V,0,Pilaitė,"Bitėnų g.",12,G1,1618,49100
1984,LTU,M,V,2,Verkiai,"Trinapolio g.",1,G1,1981,51852
2014,UKR,M,,0,,,,A461,,
2000,LTU,M,,0,,,,A461,,
1996,LTU,M,,0,Pašilaičiai,"Girulių g.",7,G1,2707,64992
1951,LTU,V,V,0,Karoliniškės,"Algimanto Petro Kavoliuko g.",10,G1,910,30663
1960,LTU,V,V,0,Pilaitė,"Pajautos g.",12,G1,385,22230
1985,LTU,M,,0,Karoliniškės,"Dariaus Gerbutavičiaus g.",10,G1,678,22509
1998,LTU,V,,0,,,,G1,3684,
2010,LTU,V,,0,Fabijoniškės,"Fabijoniškių g.",4,G1,121,21977
1941,LTU,V,V,0,Viršuliškės,"Šešuolių g.",9,G1,655,22487
1979,RUS,M,V,1,Verkiai,"Pranciškaus Smuglevičiaus g.",1,G1,1587,48860
1961,LTU,M,V,0,Naujininkai,"Sakalaičių Sodų 12-oji g.",19,G1,1801,50362
1972,HUN,V,,0,Senamiestis,"Aukštaičių g.",16,G1,38,21897
1957,LTU,M,I,0,"Naujoji  Vilnia","Mickūnų g.",14,G1,339,22187
1949,LTU,M,V,0,Justiniškės,"Taikos g.",8,G1,536,22375
1994,LTU,M,,0,"Naujoji  Vilnia","Grigaičių g.",14,G1,952,31878
1976,LTU,M,V,1,Fabijoniškės,"Visorių g.",4,G1,624,22457
1987,LTU,M,V,1,Žirmūnai,"Žygio g.",2,G1,705,22533
1991,LTU,M,V,1,Verkiai,"Bajorų kel.",1,G1,800,28025
2005,LTU,M,,0,Verkiai,"Ožkinių Sodų 4-oji g.",1,G1,1899,50712
1986,BLR,V,,0,Viršuliškės,"Viršuliškių g.",9,G1,619,22452
2013,LTU,M,,0,Šnipiškės,"Rinktinės g.",3,G1,456,22297
1990,LTU,V,V,1,Naujininkai,"A. Gustaičio g.",19,G1,824,28258
1969,LTU,V,V,0,Žirmūnai,"Žirmūnų g.",2,G1,694,22524
1958,LTU,M,I,0,Lazdynai,"Erfurto g.",11,G1,117,21973
1958,BLR,V,V,0,"Naujoji  Vilnia","A. Kojelavičiaus g.",14,G1,136,21992
2022,LTU,V,,0,Antakalnis,"Saulėtekio al.",13,G1,486,22327
1988,LTU,V,V,2,Pilaitė,"Šarkuvos g.",12,G1,648,22480
1964,UKR,V,,0,,,,A461,,
1959,LTU,M,V,0,Verkiai,"Braškių g.",1,G1,69,21925
2021,LTU,V,,0,Pašilaičiai,"Perkūnkiemio g.",7,G1,2710,64998
1986,LTU,V,V,3,Antakalnis,"Vismaliukų g.",13,G1,623,22456
1929,LTU,M,I,0,Fabijoniškės,"L. Giros g.",4,G1,266,22117
1988,LTU,M,V,1,Pilaitė,"Zujūnų g.",12,G1,2027,48802
1991,LTU,V,,0,Fabijoniškės,"P. Žadeikos g.",4,G1,381,22226
1988,BLR,V,V,0,Paneriai,"V. A. Graičiūno g.",20,G1,725,24275
1973,LTU,V,V,2,Verkiai,"Kryžiokų Sodų 9-oji g.",1,G1,2006,49208
1975,LTU,V,V,0,Karoliniškės,"Algimanto Petro Kavoliuko g.",10,G1,910,30663
2012,LTU,V,,0,"Naujoji  Vilnia","V. Sirokomlės g.",14,G1,584,22420
1950,LTU,V,V,0,Grigiškės,"Šviesos g. (Grigiškės)",21,G89,520,24555
1950,LTU,M,V,0,Šeškinė,"Ukmergės g.",5,G1,567,22404
1960,LTU,V,N,0,Žirmūnai,"Tuskulėnų g.",2,G1,562,22400
1997,LTU,V,,0,Žirmūnai,"Žirmūnų g.",2,G1,694,22524
2019,LTU,M,,0,Šeškinė,"Šeškinės g.",5,G1,653,22485
2009,GBR,V,,0,Justiniškės,"Justiniškių g.",8,G1,203,22056
1948,LTU,V,V,0,Justiniškės,"Justiniškių g.",8,G1,203,22056
1959,LTU,V,N,0,Pilaitė,"Tolminkiemio g.",12,G1,547,22386
1995,LTU,V,V,0,Fabijoniškės,"Salomėjos Nėries g.",4,G1,2656,61728
1943,LTU,M,I,0,Karoliniškės,"Algimanto Petro Kavoliuko g.",10,G1,910,30663
2011,LTU,M,,0,Karoliniškės,"Sausio 13-osios g.",10,G1,736,24286
1982,LTU,V,V,1,"Naujoji  Vilnia","Vaismedžių g.",14,G1,589,22425
1957,LTU,V,I,0,Šnipiškės,"Lvivo g.",3,G1,304,22154
2013,UKR,M,,0,,,,A461,,
1982,LTU,V,V,1,Žirmūnai,"Rinktinės g.",2,G1,456,22297
1964,LTU,V,,0,Verkiai,"Braškių g.",1,G1,69,21925
1980,LTU,V,,0,Lazdynai,"Architektų g.",11,G1,27,21888
1988,LTU,M,,0,Senamiestis,"Užupio g.",16,G1,575,22412
1958,LTU,V,I,0,Antakalnis,"Juodvarnių Sodų 10-oji g.",13,G1,2190,53200
1958,LTU,M,N,0,Lazdynai,"Architektų g.",11,G1,27,21888
1968,LTU,V,I,0,Vilkpėdė,"V. Pietario g.",18,G1,583,22419
2015,LTU,V,,0,Žvėrynas,"Paribio g.",6,G1,398,22243
1977,LTU,M,V,1,Naujininkai,"Kapsų g.",19,G1,221,22073
1997,LTU,V,,1,Verkiai,"Baltupio g.",1,G1,50,21908
2001,LTU,V,,0,Fabijoniškės,"L. Giros g.",4,G1,266,22117
1949,LTU,V,V,0,Žvėrynas,"Traidenio g.",6,G1,185,22039
1998,LTU,M,,0,Verkiai,"Baltupio g.",1,G1,50,21908
1978,LTU,V,I,2,Senamiestis,"Aukštaičių g.",16,G1,38,21897
1976,LTU,V,V,1,Šeškinė,"Gelvonų g.",5,G1,141,21997
1995,LTU,V,,0,Antakalnis,"Bistryčios g.",13,G1,64,21920
2015,LTU,V,,0,Žirmūnai,"Verkių g.",2,G1,607,22442
1952,RUS,M,V,0,Grigiškės,"Šviesos g. (Grigiškės)",21,G89,520,24555
1976,LTU,V,V,3,Lazdynai,"Erfurto g.",11,G1,117,21973
1992,LTU,V,,0,Viršuliškės,"Viršuliškių g.",9,G1,619,22452
1972,LTU,M,I,0,Justiniškės,"Taikos g.",8,G1,536,22375
1992,LTU,V,,0,Pašilaičiai,"Pašilaičių g.",7,G1,405,22250
1943,LVA,V,V,0,Justiniškės,"Taikos g.",8,G1,536,22375
1982,LTU,M,,2,Karoliniškės,"Virginijaus Druskio g.",10,G1,412,22257
1963,LTU,M,V,0,Žirmūnai,"Minties g.",2,G1,345,22192
2010,LTU,V,,0,Naujamiestis,"Šaltinių g.",17,G1,645,22477
1996,LTU,V,,0,Šeškinė,"Šeškinės g.",5,G1,653,22485
1985,RUS,V,,0,Naujininkai,"Eišiškių pl.",19,G1,114,21970
2002,LTU,V,,0,Pašilaičiai,"Pašilaičių g.",7,G1,405,22250
1952,LTU,M,,0,Antakalnis,"Rokantiškių Sodų 12-oji g.",13,G1,2269,53356
1949,LVA,M,V,0,Naujamiestis,"M. K. Čiurlionio g.",17,G1,315,22164
1981,LTU,M,V,2,Pašilaičiai,"Perkūnkiemio g.",7,G1,2710,64998
2004,LTU,V,,0,Justiniškės,"Taikos g.",8,G1,536,22375
2006,LTU,M,,0,Šnipiškės,"Krokuvos g.",3,G1,256,22107
1986,LTU,M,V,2,Žirmūnai,"Žirmūnų g.",2,G1,694,22524
1952,BLR,M,N,0,Verkiai,"Maumedžių g.",1,G1,873,29259
1986,LTU,M,V,2,Antakalnis,"Pylimėlių g.",13,G1,841,28296
1961,LTU,M,V,0,Fabijoniškės,"S. Stanevičiaus g.",4,G1,492,22333
1961,LTU,V,V,0,Grigiškės,"Vilniaus g. (Grigiškės)",21,G89,505,24542
1981,LTU,V,V,2,Naujamiestis,"Savanorių pr.",17,G1,487,22328
1982,LTU,M,V,1,Žirmūnai,"Žirmūnų g.",2,G1,694,22524
1996,LTU,M,V,2,Grigiškės,"Kovo 11-osios g. (Grigiškės)",21,G89,528,24569
1929,LTU,M,N,0,Žirmūnai,"Minties g.",2,G1,345,22192
2000,LTU,M,,0,Verkiai,"Jurgio Lebedžio g.",1,G1,2875,85955
1987,LTU,M,V,2,Naujamiestis,"Savanorių pr.",17,G1,487,22328
1988,LTU,V,,1,Naujininkai,"Burbiškių g.",19,G1,80,21936
1978,LTU,V,,0,Žirmūnai,"Minties g.",2,G1,345,22192
1979,LTU,M,V,0,Viršuliškės,"Viršuliškių g.",9,G1,619,22452
2006,LTU,V,,0,Žirmūnai,"J. Kubiliaus g.",2,G1,1980,51850
2016,LTU,V,,0,Fabijoniškės,"Salomėjos Nėries g.",4,G1,2656,61728
1981,LTU,V,V,2,Naujininkai,"Šumsko g.",19,G1,2121,52054
2001,LTU,V,,0,Naujamiestis,"T. Ševčenkos g.",17,G1,534,22373
1999,LTU,V,,0,Antakalnis,"Lazdynų Pelėdos g.",13,G1,831,28265
1950,LTU,M,I,0,Antakalnis,"M. K. Paco g.",13,G1,356,22201
1982,LTU,M,V,2,Žvėrynas,"Sakalų g.",6,G1,477,22318
