GIMIMO_METAI,GIMIMO_VALSTYBE,LYTIS,SEIMOS_PADETIS,KIEK_TURI_VAIKU,SENIUNIJA,GATVE,SENIUNNR,TER_REJ_KODAS,GATV_K,GAT_ID
1936,RUS,M,,0,Naujamiestis,"Naugarduko g.",17,G1,364,22209
1975,LTU,V,V,1,Karoliniškės,"Algimanto Petro Kavoliuko g.",10,G1,910,30663
1946,LTU,M,V,0,Karoliniškės,"Loretos Asanavičiūtės g.",10,G1,699,22528
1939,RUS,M,N,0,Paneriai,"Abromiškių g.",20,G1,3095,230561
2014,LTU,V,,0,Verkiai,"Kryžiokų g.",1,G1,2096,49290
1990,EST,V,,0,Karoliniškės,"Virginijaus Druskio g.",10,G1,412,22257
1948,LTU,M,N,0,Pašilaičiai,"Medeinos g.",7,G1,330,22178
1973,LTU,V,V,2,Karoliniškės,"Igno Šimulionio g.",10,G1,911,30664
1990,LTU,M,V,2,Lazdynai,"Jonažolių g.",11,G1,2143,52990
1958,LTU,M,,0,Naujininkai,"Salininkų g.",19,G1,479,22320
1969,LTU,V,V,1,Vilkpėdė,"V. Pietario g.",18,G1,583,22419
2011,LTU,V,,0,Žirmūnai,"S. Žukausko g.",2,G1,1977,51844
2011,LTU,V,,0,Paneriai,"Bražuolės g.",20,G1,2077,28381
1970,MDA,V,V,0,Viršuliškės,"Viršuliškių g.",9,G1,619,22452
1980,LTU,M,V,2,Pilaitė,"Vorupės g.",12,G1,2873,85951
1941,LTU,M,V,0,"Naujoji  Vilnia","Ivaniškių Sodų 1-oji g.",14,G1,2745,67032
1991,LTU,M,,0,Verkiai,"Kryžiokų Sodų 9-oji g.",1,G1,2006,49208
2010,LTU,V,,0,Paneriai,"Jaunystės g.",20,G1,2017,29990
1968,LTU,M,,0,Rasos,"Subačiaus g.",15,G1,522,22362
1984,LTU,M,V,1,"Naujoji  Vilnia","Gerovės g.",14,G1,145,22001
1989,LTU,M,V,2,Žirmūnai,"Rinktinės g.",2,G1,456,22297
1985,LTU,M,I,1,Lazdynai,"Šiltnamių g.",11,G1,662,22493
1992,LTU,V,,0,Žirmūnai,"Verkių g.",2,G1,607,22442
1958,LTU,V,V,0,Žirmūnai,"Apkasų g.",2,G1,26,21887
1955,LTU,M,N,0,Fabijoniškės,"Gedvydžių g.",4,G1,1135,22539
2008,LTU,M,,0,Vilkpėdė,"Savanorių pr.",18,G1,487,22328
1967,LTU,M,V,0,Pašilaičiai,"Žemynos g.",7,G1,687,22518
2015,LTU,M,,0,Senamiestis,"Šv. Stepono g.",16,G1,670,22501
1955,LTU,V,I,0,Senamiestis,"Polocko g.",16,G1,427,22269
1972,LTU,V,V,1,Naujamiestis,"A. Vivulskio g.",17,G1,189,22042
1948,LTU,V,V,0,Lazdynai,"Lūkesčių g.",11,G1,832,28266
2022,UKR,M,,0,,,,A461,,
1994,LTU,M,,0,Fabijoniškės,"S. Stanevičiaus g.",4,G1,492,22333
2017,LTU,M,,0,Verkiai,"Žemuogių g.",1,G1,883,29367
1956,LTU,M,V,0,Paneriai,"Tylioji g.",20,G1,2083,29992
2009,GBR,V,,0,Lazdynai,"Šarmos g.",11,G1,851,28284
1976,LTU,M,V,2,Justiniškės,"Talino g.",8,G1,2927,105650
1963,LTU,V,I,0,Karoliniškės,"Igno Šimulionio g.",10,G1,911,30664
1988,LTU,M,V,1,"Naujoji  Vilnia","Žemoji g.",14,G1,686,22517
1952,LTU,M,N,0,Justiniškės,"Taikos g.",8,G1,536,22375
2017,LTU,V,,0,"Naujoji  Vilnia","Uosių Sodų 19-oji g.",14,G1,2584,59920
1978,LTU,M,I,1,Naujininkai,"Kelmijos Sodų 29-oji g.",19,G1,2439,53696
1947,LTU,M,V,0,Šeškinė,"Šeškinės g.",5,G1,653,22485
1957,LTU,M,I,0,Naujininkai,"Naujininkų g.",19,G1,367,22212
1964,RUS,V,V,0,Šeškinė,"Gelvonų g.",5,G1,141,21997
1987,LTU,V,,0,Pilaitė,"M. Pretorijaus g.",12,G1,1620,49104
1963,RUS,V,I,2,Naujininkai,"Kapsų g.",19,G1,221,22073
2015,LTU,V,,0,Paneriai,"Juodšilių g.",20,G1,201,22054
1961,LTU,M,I,0,Pašilaičiai,"Pašilaičių g.",7,G1,405,22250
1942,LTU,M,N,0,Justiniškės,"Taikos g.",8,G1,536,22375
1981,LTU,M,V,1,Verkiai,"Didlaukio g.",1,G1,94,21950
1937,LTU,M,N,0,Naujamiestis,"Panerių g.",17,G1,393,22238
1981,BLR,V,,0,Paneriai,"V. A. Graičiūno g.",20,G1,725,24275
1966,LTU,V,I,0,Šeškinė,"Laisvės pr.",5,G1,272,22123
1987,LTU,M,,1,Antakalnis,"Žirgo g.",13,G1,693,22523
1962,LTU,M,V,0,,,,A461,,
1966,LTU,V,,0,Vilkpėdė,"Savanorių pr.",18,G1,487,22328
1942,LTU,M,N,0,Karoliniškės,"Apolinaro Juozo Povilaičio g.",10,G1,587,22423
2020,LTU,M,,0,Pašilaičiai,"Dociškių g.",7,G1,2648,61712
2001,LTU,V,,0,Antakalnis,"Vinciūniškių g.",13,G1,984,32105
1982,BLR,M,,2,Lazdynai,"Lazdynėlių g.",11,G1,830,28264
1932,LTU,M,N,0,Fabijoniškės,"Fabijoniškių g.",4,G1,121,21977
1949,LTU,V,V,0,Verkiai,"Avižų g.",1,G1,1589,48864
1960,LTU,V,V,0,Lazdynai,"Žėručio g.",11,G1,706,22534
2000,LTU,V,,0,Lazdynai,"Jonažolių g.",11,G1,2143,52990
2008,LTU,V,,0,"Naujoji  Vilnia","Uosių Sodų 14-oji g.",14,G1,2405,53628
1988,LTU,M,V,2,Antakalnis,"Rokantiškių Sodų g.",13,G1,2835,76636
1980,LTU,M,V,2,Rasos,"Pelesos g.",15,G1,408,22253
1941,LTU,M,N,0,Žirmūnai,"Žirmūnų g.",2,G1,694,22524
1974,LTU,M,V,2,Pilaitė,"Elbingo g.",12,G1,3259,265464
1976,LTU,M,,1,Žirmūnai,"Verkių g.",2,G1,607,22442
1943,LTU,M,V,0,"Naujoji  Vilnia","Parko g.",14,G1,399,22244
1942,UKR,M,N,0,Šeškinė,"Ukmergės g.",5,G1,567,22404
1962,LTU,V,V,0,Justiniškės,"Taikos g.",8,G1,536,22375
1990,LTU,V,V,1,Antakalnis,"Vytauto Žalakevičiaus g.",13,G1,2969,127513
1946,RUS,M,N,0,Viršuliškės,"Viršuliškių g.",9,G1,619,22452
1947,LTU,M,V,0,Lazdynai,"Architektų g.",11,G1,27,21888
2022,LTU,M,,0,Šeškinė,"Paberžės g.",5,G1,382,22227
1952,LTU,M,I,0,Šeškinė,"Musninkų g.",5,G1,355,22200
1960,BLR,M,V,0,Paneriai,"Juodšilių g.",20,G1,201,22054
1989,LTU,M,,0,Antakalnis,"Antakalnio g.",13,G1,23,21884
1983,LTU,M,V,2,Pašilaičiai,"Sviliškių g.",7,G1,2653,61722
1991,LTU,M,V,1,Lazdynai,"Architektų g.",11,G1,27,21888
2021,LTU,V,,0,Pilaitė,"Įsruties g.",12,G1,643,22475
1969,LTU,M,V,0,"Naujoji  Vilnia","Parko g.",14,G1,399,22244
1962,LTU,M,I,0,Naujininkai,"Šaltkalvių g.",19,G1,646,22478
1977,LTU,V,V,0,Rasos,"Subačiaus g.",15,G1,522,22362
2016,LTU,M,,0,Pašilaičiai,"Eitminų g.",7,G1,2708,64994
1942,LTU,V,V,0,Senamiestis,"Polocko g.",16,G1,427,22269
1968,LTU,M,V,0,Paneriai,"Pranapolio g.",20,G1,2618,60630
1980,LTU,V,,0,Verkiai,"Baltupio g.",1,G1,50,21908
1952,RUS,V,I,0,"Naujoji  Vilnia","Gerovės g.",14,G1,145,22001
2019,LTU,M,,0,Naujininkai,"Naujininkų g.",19,G1,367,22212
1973,LTU,M,I,0,Vilkpėdė,"Skroblų g.",18,G1,496,22337
1956,LTU,V,V,0,Justiniškės,"Taikos g.",8,G1,536,22375
1937,LTU,M,V,0,Viršuliškės,"Justiniškių g.",9,G1,203,22056
2018,LTU,V,,0,Naujamiestis,"Mindaugo g.",17,G1,343,22190
1978,LTU,M,V,1,Paneriai,"Lentvario g.",20,G1,284,22134
2010,LTU,V,,0,Verkiai,"Kazio Ulvydo g.",1,G1,2879,85963
1976,LTU,V,V,0,Pašilaičiai,"Laisvės pr.",7,G1,272,22123
2019,LTU,V,,0,Naujamiestis,"J. Basanavičiaus g.",17,G1,174,22028
1952,LTU,M,V,0,Pilaitė,"Pilaitės Sodų 8-oji g.",12,G1,2523,53864
1934,LTU,M,N,0,Verkiai,"Ožkinių g.",1,G1,838,28272
1979,LTU,V,V,1,Žvėrynas,"Sakalų g.",6,G1,477,22318
1955,LTU,V,V,1,Verkiai,"Kalvarijų g.",1,G1,216,22068
1986,LTU,V,V,1,Naujininkai,"Užusienio g.",19,G1,576,22413
1997,BLR,M,,0,Šnipiškės,"A. Juozapavičiaus g.",3,G1,3,21864
2011,LTU,V,,0,Senamiestis,"Kauno g.",16,G1,231,22082
1968,LTU,M,V,0,Antakalnis,"Keramikų g.",13,G1,238,22089
2007,LTU,M,,0,Senamiestis,"Trakų g.",16,G1,550,22389
1987,LTU,M,V,2,Pašilaičiai,"Žemynos g.",7,G1,687,22518
1950,LTU,M,V,0,Šeškinė,"Ukmergės g.",5,G1,567,22404
2009,LTU,M,,0,Verkiai,"Marcelijaus Martinaičio g.",1,G1,1610,48906
2003,LTU,V,,0,Fabijoniškės,"Gedvydžių g.",4,G1,1135,22539
1940,BLR,M,V,0,Lazdynai,"Architektų g.",11,G1,27,21888
1995,LTU,M,V,0,Žirmūnai,"Verkių g.",2,G1,607,22442
1983,LTU,M,,1,Verkiai,"Popieriaus g.",1,G1,428,22270
1964,LTU,M,V,0,Antakalnis,"Kopūstų g.",13,G1,249,22100
1963,LTU,V,N,0,Žvėrynas,"Studentų g.",6,G1,520,22360
1933,LTU,V,V,0,Šeškinė,"Šeškinės g.",5,G1,653,22485
1994,LTU,M,V,0,Šeškinė,"Ukmergės g.",5,G1,567,22404
1991,LTU,V,V,0,Naujininkai,"Dzūkų g.",19,G1,108,21964
1958,LTU,M,N,0,Pilaitė,"Karaliaučiaus g.",12,G1,223,22075
2007,LTU,M,,0,Naujininkai,"Zervynų g.",19,G1,2122,52056
1970,LTU,M,V,1,Pilaitė,"Įsruties g.",12,G1,643,22475
2004,LTU,V,,0,Verkiai,"Kryžiokų Sodų 2-oji g.",1,G1,1999,49194
1997,LTU,M,,0,Žirmūnai,"Minties g.",2,G1,345,22192
1998,LTU,M,V,2,Naujininkai,"Dariaus ir Girėno g.",19,G1,89,21945
2007,LTU,V,,0,Senamiestis,"Paupio g.",16,G1,401,22246
1964,UKR,M,,0,,,,A461,,
2013,LTU,V,,0,Verkiai,"Avižų g.",1,G1,1589,48864
1955,LTU,V,I,0,,,,A461,,
1941,UKR,M,I,0,Antakalnis,"Pauliaus Širvio g.",13,G1,810,28031
1956,BLR,M,I,0,Šeškinė,"Ozo g.",5,G1,376,22221
1935,BLR,M,N,0,Fabijoniškės,"Salomėjos Nėries g.",4,G1,2656,61728
1986,LTU,V,,2,Pilaitė,"Bitėnų g.",12,G1,1618,49100
1972,LTU,M,,0,Antakalnis,"V. Grybo g.",13,G1,578,22414
1944,LTU,M,V,0,Šeškinė,"Paberžės g.",5,G1,382,22227
1972,LTU,M,I,0,Pašilaičiai,"Gabijos g.",7,G1,125,21981
1990,LTU,V,V,0,Pašilaičiai,"Gabijos g.",7,G1,125,21981
1962,LTU,M,I,0,Pilaitė,"Priegliaus g.",12,G1,432,22274
1935,RUS,M,N,0,Pilaitė,"Vydūno g.",12,G1,629,22462
1966,LTU,V,I,1,Naujininkai,"Dzūkų g.",19,G1,108,21964
1958,LTU,V,V,0,Fabijoniškės,"Ateities g.",4,G1,34,21893
1959,LTU,V,I,0,"Naujoji  Vilnia","Jazminų g.",14,G1,2887,95642
2006,LTU,M,,0,Žirmūnai,"Žirmūnų g.",2,G1,694,22524
1961,LTU,M,I,0,Rasos,"Olandų g.",15,G1,374,22219
1997,IND,M,,0,Antakalnis,"Saulėtekio al.",13,G1,486,22327
1979,LTU,V,V,1,Žirmūnai,"Kazimiero Ladygos g.",2,G1,2149,53002
2012,UKR,M,,0,,,,A461,,
1999,BLR,V,,0,Naujamiestis,"Gynėjų g.",17,G1,164,22018
1974,LTU,M,V,0,Verkiai,"Žaliųjų Ežerų g.",1,G1,560,22398
1940,LTU,V,V,0,Karoliniškės,"Dariaus Gerbutavičiaus g.",10,G1,678,22509
2019,LTU,V,,0,Žirmūnai,"Minties g.",2,G1,345,22192
1949,LTU,V,N,0,Pilaitė,"Smalinės g.",12,G1,503,22343
1989,LTU,M,V,2,Pilaitė,"Juodkrantės g.",12,G1,1691,49990
1976,LTU,M,V,1,Žirmūnai,"Minties g.",2,G1,345,22192
1970,LTU,M,V,0,"Naujoji  Vilnia","Uosių Sodų 10-oji g.",14,G1,2401,53620
1958,LTU,V,V,0,Antakalnis,"P. Vileišio g.",13,G1,379,22224
1992,LTU,M,V,2,Fabijoniškės,"Fabijoniškių g.",4,G1,121,21977
1966,LTU,V,V,0,Lazdynai,"Architektų g.",11,G1,27,21888
1967,LTU,M,V,0,Naujamiestis,"Tauro g.",17,G1,540,22379
1956,LTU,V,V,0,Pašilaičiai,"Laisvės pr.",7,G1,272,22123
1978,LTU,M,V,2,Naujininkai,"Naujininkų g.",19,G1,367,22212
1949,BLR,V,V,0,"Naujoji  Vilnia","Juodasis kel.",14,G1,200,22053
1982,LTU,M,V,3,Žirmūnai,"Žirmūnų g.",2,G1,694,22524
2000,IND,V,,0,Antakalnis,"Saulėtekio al.",13,G1,486,22327
2017,LTU,M,,0,Lazdynai,"Jonažolių g.",11,G1,2143,52990
1981,LTU,M,V,0,Antakalnis,"Antakalnio g.",13,G1,23,21884
1984,LTU,V,,0,Verkiai,"Santariškių g.",1,G1,482,22323
2010,LTU,V,,0,Verkiai,"Kalvarijų g.",1,G1,216,22068
1978,BLR,V,,0,Verkiai,"Juozo Balčikonio g.",1,G1,2874,85953
1958,LTU,V,V,0,,,,A461,,
1989,LTU,M,I,1,Verkiai,"Fizikų g.",1,G1,1584,48794
1990,LTU,M,V,0,Senamiestis,"Polocko g.",16,G1,427,22269
1991,LTU,V,V,0,Naujininkai,"Eišiškių pl.",19,G1,114,21970
1985,NOR,V,V,0,Antakalnis,"Šilo g.",13,G1,660,22492
1987,LTU,V,V,1,"Naujoji  Vilnia","Jurgio Šlapelio g.",14,G1,3314,269962
1969,LTU,V,I,0,Grigiškės,"Gėlių g. (Grigiškės)",21,G89,526,24565
1982,LTU,M,V,2,Verkiai,"Miežių g.",1,G1,1264,22541
1945,LTU,M,N,0,Žirmūnai,"Rinktinės g.",2,G1,456,22297
1950,LTU,M,V,0,"Naujoji  Vilnia","Parko g.",14,G1,399,22244
1957,LTU,V,I,0,Fabijoniškės,"S. Stanevičiaus g.",4,G1,492,22333
1975,UKR,V,,2,Justiniškės,"Taikos g.",8,G1,536,22375
2021,LTU,V,,0,Pilaitė,"Gilužio g.",12,G1,150,22006
1984,BLR,M,V,2,Paneriai,"Vėjo g.",20,G1,2098,30518
1959,LTU,V,I,0,Vilkpėdė,"V. Pietario g.",18,G1,583,22419
1981,LTU,V,V,2,Vilkpėdė,"Žemaitės g.",18,G1,684,22515
1978,ITA,V,,1,Šnipiškės,"Rinktinės g.",3,G1,456,22297
1959,LTU,M,V,0,Karoliniškės,"Vido Maciulevičiaus g.",10,G1,523,22363
1980,LTU,M,I,1,Karoliniškės,"Vytauto Vaitkaus g.",10,G1,358,22203
